from_polity_id,from_name,to_polity_id,to_name,territorial_direction,strength,shared_territories,shared_territory_count,same_ethnicity,related_ethnicity,same_language,same_religion,same_civilization,temporal_gap_years
kamarupa_kingdom,Kamarupa Kingdom,harsha_empire,Harsha Empire,same,6,ganges_plain,1,1,0,1,0,0,-534
ghorid_dynasty,Ghorid Sultanate,delhi_sultanate,Delhi Sultanate,same,6,ganges_plain|punjab,2,0,0,1,0,0,-9
habsburg_monarchy,Habsburg Monarchy,kingdom_of_prussia,Kingdom of Prussia,same,6,germany,1,1,0,1,0,0,-217
saffarid_dynasty,Saffarid Dynasty,buyid_dynasty,Buyid Dynasty,same,6,iran_plateau,1,1,0,1,0,0,-69
seljuk_empire,Seljuk Empire,ilkhanate,Ilkhanate,same,6,iran_plateau|khorasan|mesopotamia,3,0,0,1,1,0,62
afsharid_dynasty,Afsharid Dynasty,pahlavi_dynasty,Pahlavi Dynasty,same,6,iran_plateau|khorasan,2,1,0,0,1,0,129
qajar_dynasty,Qajar Dynasty,islamic_republic_iran,Islamic Republic of Iran,same,6,iran_plateau|khorasan,2,1,0,0,1,0,54
yamato_period,Yamato Period,heian_period,Heian Period,same,6,japanese_archipelago,1,1,0,1,0,0,84
heian_period,Heian Period,feudal_japan,Feudal Japan,same,6,japanese_archipelago,1,1,0,0,0,0,0
unified_silla,Unified Silla,goryeo,Goryeo Dynasty,same,6,korean_peninsula,1,1,0,0,1,0,-17
zagwe_dynasty,Zagwe Dynasty,solomonic_dynasty,Ethiopian Empire (Solomonic),same,6,nubia,1,0,0,1,1,0,0
kingdom_of_norway,Kingdom of Norway,kingdom_of_denmark,Kingdom of Denmark,same,6,scandinavia,1,1,0,1,0,0,-444
kingdom_of_norway,Kingdom of Norway,kingdom_of_sweden,Kingdom of Sweden,same,6,scandinavia,1,1,0,1,0,0,-410
cao_wei,Cao Wei,northern_dynasties,Northern Dynasties,same,6,yellow_river,1,1,0,1,0,0,121
shu_han,Shu Han,northern_dynasties,Northern Dynasties,same,6,yellow_river,1,1,0,1,0,0,123
marinid_dynasty,Marinid Dynasty,alawite_dynasty,Alawite Dynasty (Morocco),same,6,,0,1,0,1,1,0,166
chera_dynasty,Chera Dynasty,chola_empire,Chola Empire,same,6,,0,1,0,1,1,0,-1402
chera_dynasty,Chera Dynasty,pandya_dynasty,Pandya Dynasty,same,6,,0,1,0,1,1,0,-1402
chola_empire,Chola Empire,pandya_dynasty,Pandya Dynasty,same,6,,0,1,0,1,1,0,-1579
ikhshidid_dynasty,Ikhshidid Dynasty,zangid_atabegate,Zangid Atabegate,same,6,,0,1,0,1,1,0,158
first_bulgarian_empire,First Bulgarian Empire,second_bulgarian_empire,Second Bulgarian Empire,same,6,,0,1,0,1,1,0,167
first_bulgarian_empire,First Bulgarian Empire,serbian_empire,Serbian Empire (Nemanjić Dynasty),same,6,,0,1,0,1,1,0,172
east_germany,German Democratic Republic (East Germany),federal_republic_germany,Federal Republic of Germany,same,6,,0,1,0,1,0,0,-41
achaemenid_empire,Achaemenid Empire,seleucid_empire,Seleucid Empire,contraction,5,anatolia|iran_plateau|levant|mesopotamia,4,0,0,0,0,0,18
goktürk_khaganate,Göktürk Khaganate,kara_khanid_khanate,Kara-Khanid Khanate,contraction,5,central_asian_steppe|transoxiana,2,1,0,0,0,0,96
mongol_empire,Mongol Empire,chagatai_khanate,Chagatai Khanate,contraction,5,central_asian_steppe|transoxiana,2,1,0,0,0,0,-142
mongol_empire,Mongol Empire,moghulistan,Moghulistan Khanate,contraction,5,central_asian_steppe,1,1,0,0,0,0,-21
